Checked,Protein FDR Confidence: Combined,Master,Accession,Description,LSK,LSK,LSK,LSK,LSK,LSK,ST,ST,ST,ST,ST,ST,TB,TB,TB,TB,TB,TB,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (Grouped) CV [%]: LSK SPI,Abundances (Grouped) CV [%]: LSK SPII,Abundances (Grouped) CV [%]: LSK SPIII,Abundances (Grouped) CV [%]: LSK SPIV,Abundances (Grouped) CV [%]: LSK SPV,Abundances (Grouped) CV [%]: LSK SPVI,Abundances (Grouped) CV [%]: ST SPI,Abundances (Grouped) CV [%]: ST SPII,Abundances (Grouped) CV [%]: ST SPIII,Abundances (Grouped) CV [%]: ST SPIV,Abundances (Grouped) CV [%]: ST SPV,Abundances (Grouped) CV [%]: ST SPVI,Abundances (Grouped) CV [%]: TB SPI,Abundances (Grouped) CV [%]: TB SPII,Abundances (Grouped) CV [%]: TB SPIII,Abundances (Grouped) CV [%]: TB SPIV,Abundances (Grouped) CV [%]: TB SPV,Abundances (Grouped) CV [%]: TB SPVI,"Found in Sample: [S1] F1: Sample, LSK SPI","Found in Sample: [S2] F2: Sample, LSK SPI","Found in Sample: [S3] F3: Sample, LSK SPI","Found in Sample: [S4] F4: Sample, LSK SPII","Found in Sample: [S5] F5: Sample, LSK SPII","Found in Sample: [S6] F6: Sample, LSK SPII","Found in Sample: [S7] F7: Sample, LSK SPIII","Found in Sample: [S8] F8: Sample, LSK SPIII","Found in Sample: [S9] F9: Sample, LSK SPIII","Found in Sample: [S10] F10: Sample, LSK SPIV","Found in Sample: [S11] F11: Sample, LSK SPIV","Found in Sample: [S12] F12: Sample, LSK SPIV","Found in Sample: [S13] F13: Sample, LSK SPV","Found in Sample: [S14] F14: Sample, LSK SPV","Found in Sample: [S15] F15: Sample, LSK SPV","Found in Sample: [S16] F16: Sample, LSK SPVI","Found in Sample: [S17] F17: Sample, LSK SPVI","Found in Sample: [S18] F18: Sample, LSK SPVI","Found in Sample: [S19] F19: Sample, ST SPI","Found in Sample: [S20] F20: Sample, ST SPI","Found in Sample: [S21] F21: Sample, ST SPI","Found in Sample: [S22] F22: Sample, ST SPII","Found in Sample: [S23] F23: Sample, ST SPII","Found in Sample: [S24] F24: Sample, ST SPII","Found in Sample: [S25] F25: Sample, ST SPIII","Found in Sample: [S26] F26: Sample, ST SPIII","Found in Sample: [S27] F27: Sample, ST SPIII","Found in Sample: [S28] F28: Sample, ST SPIV","Found in Sample: [S29] F29: Sample, ST SPIV","Found in Sample: [S30] F30: Sample, ST SPIV","Found in Sample: [S31] F31: Sample, ST SPV","Found in Sample: [S32] F32: Sample, ST SPV","Found in Sample: [S33] F33: Sample, ST SPV","Found in Sample: [S34] F34: Sample, ST SPVI","Found in Sample: [S35] F35: Sample, ST SPVI","Found in Sample: [S36] F36: Sample, ST SPVI","Found in Sample: [S37] F37: Control, TB SPI","Found in Sample: [S38] F38: Control, TB SPI","Found in Sample: [S39] F39: Control, TB SPI","Found in Sample: [S40] F40: Control, TB SPII","Found in Sample: [S41] F41: Control, TB SPII","Found in Sample: [S42] F42: Control, TB SPII","Found in Sample: [S43] F43: Control, TB SPIII","Found in Sample: [S44] F44: Control, TB SPIII","Found in Sample: [S45] F45: Control, TB SPIII","Found in Sample: [S46] F46: Control, TB SPIV","Found in Sample: [S47] F47: Control, TB SPIV","Found in Sample: [S48] F48: Control, TB SPIV","Found in Sample: [S49] F49: Control, TB SPV","Found in Sample: [S50] F50: Control, TB SPV","Found in Sample: [S51] F51: Control, TB SPV","Found in Sample: [S52] F52: Control, TB SPVI","Found in Sample: [S53] F53: Control, TB SPVI","Found in Sample: [S54] F54: Control, TB SPVI",# Protein Groups,Modifications
TRUE,High,IsMasterProtein,Q02788,Collagen alpha-2(VI) chain ,1.2,2.3,4.8,3,4.7,4.2,1.6,1.5,0.9,3.5,1.2,4.9,246.3,362.6,274.5,307.1,336.5,239.2,0,175.049,21,17,395,17,1034,110.3,6.42,289.77,17,0,20.57,121.44,94.7,52.75,88.37,108.08,,83.61,94.96,112.53,87.85,88.68,3.94,1.05,4.92,3.68,2.73,5.11,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q9QZS0,Collagen alpha-3(IV) chain,7.3,8.6,5.4,5.925,5.925,2.4,5.6,5.1,6.1,5.6,5.6,5.6,435.9,363.3,422.8,342.2,97.9,103,0,5.85,1,1,9,1,1669,161.6,9.48,0,1,0,79.48,2.42,30.29,,,,,,,,,,68.94,9.95,30.76,39.31,9.54,86.8,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,High,High,Peak Found,High,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,1,
TRUE,High,IsMasterProtein,A2AX52,Collagen alpha-4(VI) chain ,4.9,9.9,11.1,0.9,9.4,19.6,4.2,14.6,7.4,3.4,2.9,23.6,226.8,290.6,275.4,311.1,334.9,249.5,0,92.301,13,20,146,20,2309,250.6,6.81,49.15,20,0,130.44,59.33,49.72,114.77,58.88,20.74,43.2,39.81,60.1,13.59,81.01,11.77,13.15,13.61,10.05,7.54,2.71,4.82,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,A0A140T8T7,Collagen alpha-5(VI) chain ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,366.9,284.1,436.3,218.7,274.1,219.8,0.003,3.089,1,1,5,1,2640,289.3,6.67,0,1,0,,,,,,,,,,,,,26.53,34.41,20.97,37.37,38.03,29.73,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,1,
TRUE,High,IsMasterProtein,E9Q6A6,Collagen alpha-6(VI) chain,175.5,175.5,175.5,175.5,175.5,175.5,0.1,0.1,0.1,0.1,0.1,0.1,409.4,285.4,237.3,228.3,231.7,232.5,0,5.309,1,1,6,1,2265,246.3,6.9,1.89,1,0,,,,,,,,,,,,,23.36,34.99,22.38,43.03,6.98,31.45,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
TRUE,High,IsMasterProtein,E9PWQ3,"Collagen, type VI, alpha 3 ",5.2,3.7,3.6,3,2.7,3.5,4.5,3.7,7.6,3.6,3.9,88.3,259.9,320.1,248.4,290.9,316.8,230.6,0,987.037,46,114,2404,114,3284,353.7,6.93,1819.51,114,0,51.28,9.41,19.41,44.41,25.97,9.92,51.97,22.82,2.11,47.64,8.35,11.05,6.79,5.47,3.56,2.63,3.3,1.68,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q60675,Laminin subunit alpha-2 ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,517.9,250.2,442.1,360,254.5,335.3,0.001,3.753,1,1,1,1,3118,343.6,6.09,0,1,0,,,,,,,,,,,,,25.18,14.7,24.04,,20.34,14.74,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,1,
TRUE,High,IsMasterProtein,P97927,Laminin subunit alpha-4 ,88.9,70,78.475,90,65,78.475,83.7,94.9,30.4,77.1,71.525,71.525,101.7,259,201.5,154.7,219.9,263.3,0,26.396,4,4,25,4,1816,201.7,6.21,26.36,4,0,41.93,25,,12.44,37.41,,,52.43,23.39,39.05,,,10.79,11.38,19.98,10.17,7.94,5.58,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Peak Found,High,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,IsMasterProtein,Q61001,Laminin subunit alpha-5,63.7,51.3,69.7,67.6,41.1,4.3,64.5,28.1,33.3,22.6,6.7,6.1,213,243.1,222.3,217.2,230.3,215,0,149.408,11,26,173,26,3718,403.8,6.73,84.64,26,0,28.74,20.41,11.79,26.07,16.2,61.23,23.3,25.32,6.45,10.89,38.35,16.98,3.04,2.05,4.79,2.15,4.16,2.7,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,E9QN70,Laminin subunit beta-1,60.825,22.5,60.825,67.4,72.7,80.7,111.04,89.3,168.2,68.6,117.1,112,196.3,169.1,187.2,168.9,102.2,177.7,0,8.217,2,3,9,3,1834,202.3,5.01,0,3,0,,,,11.62,,,,,,23.04,,,13.39,7.38,3.37,3.37,29.37,29.79,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,High,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,1,
TRUE,High,IsMasterProtein,Q61292,Laminin subunit beta-2 ,4.1,8.2,5.8,12.2,3.7,36,5.8,4.5,38.9,5.3,7.9,298.7,224.9,247.7,227.3,218.7,206.3,243.9,0,123.48,22,28,183,28,1799,196.5,6.67,65.99,28,0,66.3,66.2,19.63,18.96,52.89,19.97,40.8,28.88,14.1,27.43,58.85,2.44,4.04,6.56,4.97,8.18,7.6,9.41,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,F8VQJ3,Laminin subunit gamma-1,20.5,20,16.4,22.1,13,34.8,59.8,15.2,26.1,24.4,12.8,94.4,224.9,276.3,225.4,229.2,206.3,278.5,0,104.196,18,21,137,21,1607,177.1,5.19,69.6,21,0,35.76,39.38,6.04,16.25,23.43,72.86,33.41,19.69,8.52,50.81,20.19,33.1,9.62,4.13,2.64,3.11,3.25,3.61,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
